"doc_id","date_year","batch_number","date_full","box_number","folder01","folder02","folder03","folder04"
"269","2015","5092","07/21/2015","197550023","2015 ACA BATCHES","5092 - 07/21/2015","-","-"
"270","2015","5091","07/20/2015","197550023","2015 ACA BATCHES","5091 - 07/20/2015","-","-"
"271","2015","5090","07/20/2015","197550023","2015 ACA BATCHES","5090 - 07/20/2015","-","-"
"272","2015","5089","07/17/2015","197550023","2015 ACA BATCHES","5089 - 07/17/2015","-","-"
"273","2015","5100","07/22/2015","197550023","2015 ACA BATCHES","5100 - 07/22/2015","-","-"
"274","2015","5099","07/22/2015","197550023","2015 ACA BATCHES","5099 - 07/22/2015","-","-"
"275","2015","5098","07/22/2015","197550023","2015 ACA BATCHES","5098 - 07/22/2015","-","-"
"276","2015","5097","07/21/2015","197550023","2015 ACA BATCHES","5097 - 07/21/2015","-","-"
"277","2015","5096","07/21/2015","197550023","2015 ACA BATCHES","5096 - 07/21/2015","-","-"
"278","2015","5095","07/21/2015","197550023","2015 ACA BATCHES","5095 - 07/21/2015","-","-"
"279","2015","5083","07/13/2015","197550023","2015 ACA BATCHES","5083 - 07/13/2015","-","-"
"280","2015","5082","07/13/2015","197550023","2015 ACA BATCHES","5082 - 07/13/2015","-","-"
"281","2015","5081","07/10/2015","197550023","2015 ACA BATCHES","5081 - 07/10/2015","-","-"
